100000 [Green,Blue,Yellow,Purple,Orange,Red]
lqcw/~qfPL&j 8014abf0dba6bc59d042d35169885c9929fde66d9f87751bcffe0bb514db6702
>5Yp8o#P[:S9H"'ql=X 0d7279d6191b59d73b84da5e7caeeb708fe7c2a03e1cc4aed65d0cbb8058161d
VPh>]3,*a/W&HxN 89e7f528335afdf3e9fa40ca2b6aa9aa7734358e3128fa0adc1895566439a624
G{o8mhy" bd060373f8d582dba990d9e0e7c71907da9ae24cf84de40abf4f154944c66a06
9~+z/&v#S(7>"u' 7a7116ff58d1c4b3cbdc1128be5b4462768a01c7dff497ba37676ff74588b7f5
"=eqXsh#4V 35a512c929abd325c45f64850eac7b8ffef006fa10b2d5d4e65e687242c07a56
[t)JxEom bd5ace53df4f3d3a6747b1ed6fd11660331b71ee25bcd43b01d4efaef2888c55
#2{}&^.kW.gI5|gc%m8_P fc109e6ac03448b3958efeaaee74a4e42c54969cfb0f0ad9909e4de04d5290a4
a%C,b<K)iC"9;- b600b8ab8075773708e45b20e15652328e850607546e04c841fbb69d69093972
5aj;"Y5D+QU0 f55c47551707f7e86b3c12f210ad613ed15707fd53dc877111db9b1fdf040560
./|q,-[}iaGra0+,i# b3187535e3645a9f06d5664ea324ad7e54c499a5132a248e48d7d126121464c9
23Zqr)7C0%/$U3d*ZcT#-z cc2ce95ddea4c3e9dce423092c198ca332a89cc0842440f655841063f158bfba
g/jI16rox!E*yG8 74b91ac1bf446a5b319679fcad0f84d0cdb7fa5d5a7d70feebe6f8f55849ea49
"4tD4h.5;)eaH 11cf4ae113309b5073fbdd828c46df9db18fa476d15946ee4efbd8126866f8f3
#*"WJJH/.'*&IR}GuLVC 830ff36c7510e717f39a5a6b5e89a6f5afde8ee4a63ff45f88f60828cd8c3f67
");l=N'<!kP 7b638aa482c517ed1c53324008d9e3c92d31a5898b1e3eb041320fac8f1e0910
?;qI:/_T)<* 25e710259aad3b4eef3a81f026a78c900eade2ac889ccbbf4217a22891a82193
S1Ixv;O2:NN$3WIHDx 40af26aebf73bdaef17b7d88a1c114e611e62a3390900b36630a1d7693ba2746
!EdPh/D8tW-eeWjIRBESZ bcb396082678005f24d668ac86fff9d9d0136debb404373b9bc92350e5a22d45
F}k*+";q%js./rBEkzKZ 4f793ad30bd31f747631360e711b7d3f624400452afabd4a9604fe2e02a47b4c
9bINeW&=)sAdSA7 7513a13c754d7a59d62fc08238cbc5add26360ff20b0768c04bfa4f9aef53970
?[|O/{)p2Di8U 0bc8bf7e5bfee9503248d58f25532abcc3f345ce7389e5a52f936b189a79e388
;q;Mhkbb f86fbf52b6aafed0a2aea7b617165c1fbe4d81ebf048ddb7835277e528504c6e
QO[+9u_Bw/y7!7n]z=>iYR e12d29426587d2e00b2eeecb954038285adf1f62b328abfe9c3c7a14ac554066
bg&;av9uJa> 11fcb34bf39b2400f2a72d836d4f963eb47d07adfff95cc6daaf1cd520ae7cf8
B={Y-|_FnB_ 659c5cc256c08a26190ca7746708495f8aaf873219e91cf7203da9eb8ed602c2
8^(f+8JRpyk/CHNeTSaVd b87f2afd937b4def21221eaed5b36dee667e8fc59646562b0be2b14b290aa499
.xld',2Md"1AQ=Me 2fd545b27bf510105c80f8a5a4a7f5b434e5734243fce42a1f2272ded255f634
/8b*H'SC[ 3bd251e78a3c68fc046cf8eec7b93a7164b81506bfc3555ad811ab0de4adc38f
<&P91g}hr4jQ#cNP&W=x bb61d8fdc7e534ce905f052f629def03ce581806af53efb305a30dea6b775533
VNbG;VpRlR^PL+zqN6 ae1d10971a91d4f8a720b664c2b8d381d404d487ddbf727c3f1c1ebd6cf5d496
XneAv6vs-oDZlxz{rz=R de76643c2741f1eb822617a28606df2dc6d7ab626bc6fafc5eb6f20db8c14496
(6i~Ap&X~iD 1e07d791bf97549b272c44b39dbfd0aaceaf633463d5b0e9365c884b80f3df0d
%RK^3]C8kjK#h 0db66706590d6942398dbf07103e954ea4ac3a100673ed88a72b6cd5c4a632d7
<04YqHCJH'LBs'$iv 9feb3fea2d5c0d662c20921a09b73b515a7cbfba458212e03ac7e1e61c290a5f
Ecej~?;OIK%?zq>KS 21de99b0926dfbb530c0d731ba962ad058922267f4e12295049bfe8c27d2fb99
xBWEi#b[s-1;~3~>/N0kk/ 26da7e3d81c34d7e83f333160c9c9b49408705d9ed73a676b83e2fee047cdcd9
yc"4BV[MkBe 5471b65ca1a4b183729f8e6bd2fbe1862e889f755b08ad1d029db6086afeadbe
pYno?r8[/ 4ebbf44182dc0b8b55f7b423559f6b357c51fce58695155717ce454aed498add
Bh}7#]WHLZ*" ba0d182402d478358372c3d270dc69f3088e30eb30f92c7228bf882255a9c648
(FY)&5%px*~i5sh,'CL. 751fea954ea6ab4466b5b74fe57de18c6d6c09654e0268d1bb3a3c1050064c21
6f525tY-=XMSW%?l e03a5c476c4e7cf13d9f6a2e1b6fc9f102269c60f31a1e1a63c5da788c320e13
EI6SZWvQS|f:_gY 58fb66aa3bc93ddb6c6ddd0b9b91f14a9d425480bdf1740efbfc60d0124dfb12
#}p8m4z^#(7jFDD?l7R|l 0fe8c7a3afd5a6b95d84661b0cccca3570df00527dc41e972be0821e68ed37fe
s0h)*vlpY}_8D$$i c8f71a97e7905c33905c80945415fca67365aa6c4464ee3ac525a265757681bb
NM2sBMvevP42WZvsQ 0d3ece98bd2c94900193df5f2c90cd418319cbc0bc68b5c1a3767470ea2860f4
[ma~4SQuLJZo"Q"sR/}k 42ef436564178b3efb968df9c3db301a866b4eebabcc1e762b5f7c18e5aabfd6
c#^#nA'E6 288520ef7539be24edb0e09288f5c822771dc8712b250b0f863d635db7fe6cdf
s8G&4khn;2ODfP3Lg!3 b71d9824010665aaf0667dc4f79ced914f530327dec872bb023ca9c16484f1f6
u~""g+=$<uqDQR(F#"L/A b401d43b99fc7bb1b633fad2116b76badb09d48e625a1728712606200662d4c8
u};h*Ld0sk#Or2=smXW-P} 53f6da50976af1f177af1feec6c4f14fe76ec7d87d4d68f0be9155f7cc10dbf5
ccxViGbtta!3jIE 761f31da2eab10f7ca91adaf80d0f30b4dd99096ac1c1130d6b12691c43042b9
lx~]l1+F3KdFq2^ 4ef990626af486e6e2a336c319c68014c5bfe840b3f9b273a2c687858c489765
n6v<|;sZEvmx! 84b7d8e2ea83b287e26bf36a67bc72cfdec5067cc917a3b49a051fb4483ad0a6
X=o%)FUC|a 9b5d65eb7aa56b4662ed420de23f22978e298091f5c3c9a4d82b2ed17b9efae9
m<6$b9ai2 fe3436728ddfd732b4ffdd74f3320e5beeda1127f2835e13dedac20350928391
e/(Q#=~:Fy9##]9i2 5678f039fe038ac1cf554e6c65f5a3fdd14c5d17e2f6460f4c737d2322275103
coE=[;EJxp d79ec80a66aedb8c8ffc104b48dbde99690b2acb86f4c3cd1288e377fdef9a0c
0HN0C8Y^T#>w> b9185c79b07ea7aa21f6244ff88cf8d598262cab28c26c3e98d89c778352bd6c
Y/JFmbze9DBjyK}Qk0G cd48a1cfeb27f162ae6d864f0e7c7e628cb15a62e32d675e525c1abd11679a29
l>d6%v;724idRFK.(>QH fa072e3445b395fc486886b679307a9555e5f37755411dccf0d22b30378af967
8HKTD66mS;|(dQNk) aec64fb491d9a6e401d7161bacb373aa06aa43c5c4deb5f4d648b9c11fa92188
0('iLr[%!& 3fa5eb77e25a224aa6b5f5a61ae07d4771fff8b85a578fcfe18ffd8cfabf09fb
;'y+VK^h 2bc0e50b93b2c0c7fb085031cbb462cb0a51d19f3266e0ef77162e8851c4251f
MkwCLI966u4kMY3J 8693d81b9fe6cb06a1f922c1da116a7235f1151a78c7a5816e37c7f2f9c3a271
LAJBsohnpL bcfbf5313636a12ad0986c861def1965ee518c65c646e69689b51d7ae84f350a
*do!^ol5sLyqRWQGBYh_ 664a7dfe7733869a01d669547acca7dc2b2c7d24847b30011df8e061ea647ff4
L'IR9AFtYS?=^^(>CJ 2d174defe3b7267ccab42da0cb0b6285c4777025f9b4c5a7aa711a7f57eadb61
>i^R"EhshLgQXg0Vl~ cb71212789696e709bbc7fd1e69e71caf361166bfcc281acbdaa9ad9be605f72
n84{xtbPBO#YtLZ%PCN 71654cbd2669a2e44e611f13d55bfa8a41e829f376fa842a6b35df2ae6827664
3R|W"|'IuOmOP 93d465fef452bacb90fd79253776fe9847eb26eb1d092309b0fe02abb2ded136
679F9(N+M 63a8ced8bf682003c1c037bda9cd55189c75fce6ba2a6b9b56649e16a215d799
/DCK-=-J$O'~~,f! 8fc8e197da9cba86767d6db1715db30ca56de9f0d3c2cf7eb80127c8e0153bb6
)!g!zG6g 473f664eebdc2a6899ec91233c0cd95011e3fc4e13a57a88ee16f24611f08b05
JQjJpgjYDnY e65ddd47bb3ec29f18d3385d236fe9aace292a2a83207d22fed84d66bbfe6ee9
"/zU$FAYqk]w&#o__W#vI! bb0b06678bba8636c6fc7a48a088d49915bb24c7f07d846d85d42ab21eeced0b
